STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,TMIN,PRCP
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100424,228,89,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100425,183,50,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100426,167,67,18
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100427,167,17,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100428,194,50,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100429,178,94,127
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100430,128,56,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100501,144,44,33
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100502,78,28,48
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100503,72,6,20
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100504,83,17,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100505,100,28,127
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100506,67,6,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100507,61,6,23
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100508,44,-17,25
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100509,122,0,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100510,139,28,25
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100511,117,44,20
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100512,89,33,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100513,128,50,38
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100514,100,44,13
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100515,233,61,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100516,239,61,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100517,206,100,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100518,250,111,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100519,261,117,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100520,261,117,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100521,267,122,0
